text	Museo	Estrellas	Fecha de la visita	Fecha de la opinión	Enlace
Interesante exposición orientalista y estupenda colección de Fortuny. La opinión es sobre todo para la exposición temporal sobre la pintura orientalista, en la que destacan numerosos y estupendos Fortuny, además de otros pintores orientalistas de la época. La colección permanente está muy marcada por el gusto de su dueña por el costumbrismo, el folclore y la pintura andaluza de finales del XIX y principios del XX, mucha de ella pintada para turistas.	Museo Carmen Thyssen	4	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r744793997-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Es su ciudad y tenía que tener su museo. No hay comparación con el de Madrid, siento mucho decirlo, ya que ese museo es mi favorito y esperaba encontrar lo mismo aquí.	Museo Carmen Thyssen	3	Nov-19	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r742560944-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Una colección muy personal. Museo siempre recomendable por sus peculiaridades, entre ellas, la posibilidad de disfrutar de la obra de pintores muy poco representados en otros museos y eso hace que este museo, en ese sentido, sea único. Por otro lado, no se puede olvidar que se trata de una colección particular y se nota. El cuidado, yo diría mimo, con que se presentan todas y cada una de las obras, desde el marco a la iluminación, es llamativo y hace que todas y cada una de ellas, desde su singularidad, nos aporte un gran placer. Coincidí, además, con una exposición temporal sobre la pintura orientalista: excelente. Un museo siempre es recomendable; este, desde luego, muy justamente.	Museo Carmen Thyssen	4	Jan-20	Jan-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r741540424-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Bien dotado. Bonito lugar y muy buenas actividades ligadas a la pintura como charlas sobre cuadros y otras propuestas muy acertadas.	Museo Carmen Thyssen	4	Jan-20	Jan-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d2067257-r741493581-Museo_Carmen_Thyssen_Malaga-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Pequeño gran museo. Pequeño gran museo que, de forma temporal, expone obras de pintores rusos provenientes del Museo Estatal Ruso de Moscú. Ubicado en el antiguo edificio de Tabacalera junto con el Museo Automovilístico y de la Moda.	Museo Ruso	4	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7891709-r747366848-Coleccion_del_Museo_Ruso-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Esperaba más... Museo amplio, bonito como edificio, pero no muy interesante para mi gusto. Tengo que decir que iba con el concepto de ver grandes obras de arte, pero me pareció demasiado monotemático. Será que en España tenemos tan buenos pintores clásicos que todo lo demás me parece poca cosa (sé que suena pretencioso), pero me esperaba más de este sitio.	Museo Ruso	3	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7891709-r747249711-Coleccion_del_Museo_Ruso-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Interesantes exposiciones en un precioso lugar. Ya de por sí el edificio merece una visita. Sus exposiciones temporales recogen parte del museo de San Petersburgo, algo difícil de ver por estos lares... Si a eso le añades que está junto al paseo marítimo y siempre puedes disfrutar de un paseo por la playa o comer pescaíto fresco... ¡¡qué más se puede pedir en un día!!	Museo Ruso	5	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7891709-r747151076-Coleccion_del_Museo_Ruso-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Hay que informarse previamente. Hay que informarse previamente ya que las exposiciones son itinerantes y te puedes encontrar con que ya no tienen la que buscas. De todas formas vale la pena como único medio de conocer cultura rusa.	Museo Ruso	4	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7891709-r746574290-Coleccion_del_Museo_Ruso-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Un museo único en España. Me sorprendió mucho este museo, que no conocía. Es una filial del Museo Ruso de San Petersburgo. No tiene colección permanente, solo exposiciones temporales, pero la calidad de lo que expone es muy alta. Notabilísima la colección de cuadros de retratos y escenas del siglo XIX, que no tienen nada que envidiar a la mejor pintura inglesa de la época... Aunque está lejos del centro, vale la pena el esfuerzo de acercarse a verlo. Y, después de ver esta muestra, anima mucho a ir a ver las colecciones de San Petersburgo...	Museo Ruso	4	Feb-20	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7891709-r744792634-Coleccion_del_Museo_Ruso-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
Precioso. Increibles obras y muy interesantes… Me soprendio por dentro y ¡lo vi precioso! Está en un lugar donde tienes más museos alrededor.	Museo Ruso	5	Nov-19	Feb-20	https://www.tripadvisor.es/ShowUserReviews-g187438-d7891709-r742976446-Coleccion_del_Museo_Ruso-Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia.html?m=19905
