text	genre	eval_entity_type	name	province	source	url	date	score
I ordered the daily deal menu because I was walking past and starving. Food tasted bland but edible. The smell of burnt dirty cooking oil gradually got worse until I had to leave before finishing. The smell was stuck to my clothes. Got home and was sick all night. This was the only thing I'd eaten all day so it was definitely this food. Avoid this restaurant.	review	chinese	Promo China	MA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g187440-d6948914-Reviews-Promo_China-Torremolinos_Costa_del_Sol_Province_of_Malaga_Andalucia.html	2020-1-20	1
The Spanish dispute the English claim to the be the 'inventors' of fried fish. Freiduria can be found all over Andalusia. This one served several different types of bite-sized batter-coated fried fish. It is sold by 250 gram portions. You can pick up a 'Variada' for about 5 euros- this gets you a bit of everthing. I'd recommend that you ask them to do it without Shrimps ('sin Gambas')- as they are not deveined- no doubt Spanish stomachs are a bit more used to seafood- those of us with more delicate Anglo-Saxon digestive systems need to be a bit more careful. You'll have to order in Spanish- no English spoken- and the Freiduria itself was choc full of locals when we went. It was also notable that the local tapas bars were collect large orders of fried fish- presumably to sell on that night. There's a little 'greasy spoon' type dining area- but, because the fish is served in cones you can eat it as you wander the atmospheric streets of Triana. Highly recommended.	review	seafood	Freiduria Reina Victoria	SE	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g187443-d3754711-Reviews-Freiduria_Reina_Victoria-Seville_Province_of_Seville_Andalucia.html	2013-4-13	5
I visited on 19th May 2019 to celebrate a special birthday. We had a fabulous time there, food excellent, service second to none. On arrival as we were asked on booking lunch if it was a special occasion we were greeted with champagne and once the meal was over they brought out a birthday cake which tasted yummy. All in all a fantastic celebration of my birthday and I would like to thank Shea and all his wonderful staff for their attention to detail. Shea himself comes to visit all the tables once his duties of cooking in the kitchen is done....so lovely to see the Chef chatting to his customers.... I can highly recommend this restaurant to anybody wanting to enjoy a wonderful ambience with food that we can't fault. A set three course menu for Sunday lunch with an excellent choice of meats and fish. Well worth a visit if you come to Mojacar. We can't wait to visit again.	review	british	Restaurante La Parata	AL	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g580270-d1212203-Reviews-Restaurante_La_Parata-Mojacar_Province_of_Almeria_Andalucia.html	2019-5-20	5
I hesitated before booking for my wife's birthday with a group of friends and their kids as some told me they didn't like the experience last summer, but took the advice of my hotel's concierge and booked. They have three dining areas, the garden which is absolutely charming, the main restaurant inside which is well furnished and decorated, and an adjacent terrace where we were seated as it was a large group. The service was excellent, excellent wine selection and a great creative menu. Highly recommended for dinner or just drinks, i would go again next time in Banus and would ask for a garden table...	review	vegetarian options	Breathe	MA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g1207898-d15293404-Reviews-Breathe-Puerto_Banus_Marbella_Costa_del_Sol_Province_of_Malaga_Andalucia.html	2019-9-18	5
Well that was underwhelming !! Starter was Brochette on a slate that resulted in the tomato etc falling on the table cloth!!? I ordered a main of paste with green pesto and pine nuts... 4!!.... Nuts!!!!.... Glass of wine €3.50!! eee... Why... It's average wine ... €2.20 max.... Waiters do not have tables allocated, had 3 different waters ask me if I wanted to order... Why... !!! Live in the Pueblo.. This is my second and LAST visit to La Pala D'Oro .... Want to waste money, ... in my opinion come here. Way-over priced for what you get.... Cordado coffee ok but €2 !!! Waiters indifferent ... Not trained, lack experience, young .	review	italian	La Pala d Oro	MA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g562812-d2346692-Reviews-La_Pala_d_Oro-Benalmadena_Costa_del_Sol_Province_of_Malaga_Andalucia.html	2016-7-11	1
We had a long day and wanted a hearty dinner. This place had good reviews on yelp. Decided to eat here. Ambience was what drew us in at first- very cozy yet stylish and grand. Staff was a bit slow but that's how people eat meals in spain No rush .... We were given an assortment of local breads and breadsticks while we waited for our meal. The food eventually arrived- so tasty and delicious!!!! Fresh pasta and fresh ingredients. Both items we ordered were prepared perfectly and were a very satisfying portion! Had a very delicious dinner so much so that we had no room for dessert A nice spot for a meal while visiting Marbella.	review	italian	Da Bruno A Casa	MA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g187439-d3952777-Reviews-Da_Bruno_A_Casa-Marbella_Costa_del_Sol_Province_of_Malaga_Andalucia.html	2017-6-2	4
We visited this place twice, the first time I ordered scampi which was on the menu and it came out as prawns in batter!!!! So don't get the scampi, if you want it they give you prawns!! The second time I had pizza, it was ok, but it was quite small! But the staff are friendly enough and they were very busy! I was just a little dissapointed with my choices! Apparently the steak is lovely!!	review	italian	Trattoria Italiana	MA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g1767565-d8463953-Reviews-Trattoria_Italiana-Sitio_de_Calahonda_Mijas_Costa_del_Sol_Province_of_Malaga_And.html	2018-9-2	4
Went to restaurant with my partner & family. The tasting menus have something for everyone. They advised and swapped a few things when they found out one of our party was pregnant. Top class service nothing was too much trouble & when one of our party had too leave as feeling ill they knocked €10 off the cost of his food. Great dinning with great views in summer. Highly recommended will definitely visit again.	review	spanish	Escorpio Restaurante	MA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g562812-d4155134-Reviews-Escorpio_Restaurante-Benalmadena_Costa_del_Sol_Province_of_Malaga_Andalucia.html	2017-1-7	5
One of the few restaurants open in January (2015) when we visited the site of the Roman city of Baelo Claudia, and annoyingly difficult to find (you can see it from inside the site, but to get to it you need to go back to Bolonia and follow the track to the beach). Right on the beach, and a tad expensive no doubt in view of its situation, but good quality fish dishes (swordfish and lemon fish dishes for around 12 Euros each), good service, and a choice of eating outside or indoors.	review	seafood	Bar Restaurante Otero	CA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g1087619-d6599765-Reviews-Bar_Restaurante_Otero-Bolonia_Province_of_Cadiz_Andalucia.html	2015-1-20	3
We called here whilst we were having a long walk on the promenade on our last day, firstly we stopped for a mid morning drink, but were impressed by the friendliness of the staff and what was on offer on the menu, so we decided to return after our walk was completed and treat ourselves to lunch, All day breakfast for 6 euro's something and the menu del dia, 3 courses for 10 euro, what more could you want. Lovely location to either have a drink or a meal, very clean and well presented with very friendly staff who made you feel welcome, great food and equally good value, highly recommended, well worth a visit.	review	british	Blue Palm	MA	Tripadvisor	https://www.tripadvisor.com/Restaurant_Review-g187439-d4227898-Reviews-Blue_Palm-Marbella_Costa_del_Sol_Province_of_Malaga_Andalucia.html	2018-9-23	4
